time /s	I /nA	
77.800	28.823	
77.900	53.491	
78.000	47.749	
78.100	46.369	
78.200	37.467	
78.300	31.831	
78.400	46.141	
78.500	38.137	
78.600	35.763	
78.700	42.572	
78.800	41.341	
78.900	31.221	
79.000	32.670	
79.100	38.863	
79.200	32.892	
79.300	34.074	
79.400	51.544	
79.500	44.919	
79.600	48.084	
79.700	47.045	
79.800	33.847	
79.900	36.286	
80.000	45.131	
80.100	38.642	
80.200	47.842	
80.300	46.211	
80.400	43.520	
80.500	37.377	
80.600	50.928	
80.700	39.598	
80.800	42.723	
80.900	43.485	
81.000	46.985	
81.100	38.234	
81.200	29.221	
81.300	47.061	
81.400	46.531	
81.500	43.622	
81.600	53.745	
81.700	38.560	
81.800	42.421	
81.900	43.655	
82.000	38.460	
82.100	39.971	
82.200	38.168	
82.300	38.715	
82.400	44.235	
82.500	41.948	
82.600	32.669	
82.700	49.015	
82.800	43.922	
82.900	45.276	
83.000	50.894	
83.100	32.215	
83.200	46.538	
83.300	52.571	
83.400	37.883	
83.500	32.356	
83.600	36.410	
83.700	38.752	
83.800	47.318	
83.900	51.997	
84.000	42.095	
84.100	51.139	
84.200	42.522	
84.300	42.222	
84.400	40.009	
84.500	49.097	
84.600	58.106	
84.700	29.919	
84.800	54.626	
84.900	45.483	
85.000	45.825	
85.100	43.519	
85.200	42.177	
85.300	50.202	
85.400	48.309	
85.500	41.708	
85.600	40.278	
85.700	48.784	
85.800	45.019	
85.900	35.909	
86.000	42.127	
86.100	26.081	
86.200	56.614	
86.300	43.229	
86.400	38.321	
86.500	45.756	
86.600	40.432	
86.700	49.569	
86.800	39.936	
86.900	44.855	
87.000	50.730	
87.100	42.802	
87.200	43.045	
87.300	49.145	
87.400	43.709	
87.500	40.720	
87.600	47.914	
87.700	57.827	
87.800	44.023	
87.900	32.782	
88.000	64.805	
88.100	53.754	
88.200	49.619	
88.300	39.202	
88.400	47.391	
88.500	47.107	
88.600	44.660	
88.700	34.884	
88.800	36.502	
88.900	42.329	
89.000	28.399	
89.100	23.682	
89.200	37.763	
89.300	58.868	
89.400	48.383	
89.500	52.547	
89.600	40.941	
89.700	43.173	
89.800	45.157	
89.900	30.376	
