time /s	I /nA	
54.400	15.299	
54.500	19.422	
54.600	30.393	
54.700	21.620	
54.800	18.754	
54.900	20.826	
55.000	18.187	
55.100	18.979	
55.200	38.880	
55.300	22.515	
55.400	20.748	
55.500	21.313	
55.600	11.758	
55.700	18.148	
55.800	32.969	
55.900	20.349	
56.000	23.760	
56.100	29.259	
56.200	9.977	
56.300	16.171	
56.400	25.159	
56.500	25.377	
56.600	25.454	
56.700	26.349	
56.800	11.669	
56.900	10.682	
57.000	31.325	
57.100	11.665	
57.200	27.487	
57.300	10.686	
57.400	12.066	
57.500	32.512	
57.600	35.431	
57.700	28.188	
57.800	16.848	
57.900	11.966	
58.000	25.266	
58.100	8.246	
58.200	43.580	
58.300	23.422	
58.400	11.762	
58.500	8.532	
58.600	27.172	
58.700	27.116	
58.800	14.710	
58.900	51.357	
59.000	23.080	
59.100	23.963	
59.200	12.015	
59.300	24.345	
59.400	24.313	
59.500	27.242	
59.600	23.743	
59.700	26.952	
59.800	28.392	
59.900	15.688	
60.000	21.448	
60.100	19.152	
60.200	21.113	
60.300	20.328	
60.400	18.622	
60.500	29.574	
60.600	18.718	
60.700	24.763	
60.800	23.574	
60.900	10.467	
61.000	10.408	
61.100	25.454	
61.200	33.495	
61.300	21.660	
61.400	33.468	
61.500	25.617	
61.600	13.352	
61.700	27.866	
61.800	25.487	
61.900	6.198	
62.000	31.228	
62.100	22.090	
62.200	30.956	
62.300	26.195	
62.400	16.974	
62.500	29.188	
62.600	11.939	
62.700	24.311	
62.800	25.014	
62.900	19.563	
63.000	16.712	
63.100	-16.002	
63.200	8.522	
63.300	16.270	
63.400	13.966	
63.500	34.999	
63.600	19.525	
63.700	33.462	
63.800	41.694	
63.900	23.621	
64.000	23.259	
64.100	33.706	
64.200	24.509	
64.300	0.353	
64.400	32.037	
64.500	28.885	
64.600	25.107	
64.700	-0.397	
64.800	32.189	
64.900	24.790	
65.000	17.084	
65.100	32.198	
65.200	26.628	
65.300	21.516	
65.400	14.968	
65.500	17.504	
65.600	21.778	
65.700	18.682	
65.800	28.114	
65.900	14.294	
66.000	14.209	
66.100	20.141	
66.200	24.390	
66.300	23.209	
66.400	22.699	
66.500	24.046	
66.600	15.651	
66.700	11.019	
66.800	17.671	
66.900	35.738	
67.000	37.862	
67.100	20.881	
67.200	11.554	
67.300	23.228	
67.400	18.906	
67.500	36.442	
67.600	13.497	
67.700	30.251	
67.800	8.266	
67.900	18.170	
68.000	16.414	
68.100	30.327	
68.200	14.458	
68.300	10.772	
68.400	-1.368	
68.500	7.209	
68.600	22.347	
68.700	41.123	
68.800	7.288	
68.900	42.062	
69.000	6.345	
69.100	26.394	
69.200	19.959	
69.300	37.133	
69.400	10.769	
69.500	3.996	
69.600	17.161	
69.700	30.040	
69.800	19.293	
69.900	18.143	
70.000	13.738	
70.100	20.406	
70.200	7.372	
70.300	23.563	
70.400	11.526	
70.500	13.906	
70.600	34.385	
70.700	30.511	
70.800	16.512	
70.900	36.089	
71.000	9.006	
71.100	5.736	
71.200	32.302	
71.300	20.417	
71.400	46.856	
71.500	7.847	
71.600	5.840	
71.700	22.405	
71.800	32.763	
71.900	28.786	
72.000	15.886	
72.100	26.368	
72.200	19.961	
72.300	25.502	
72.400	11.110	
72.500	38.392	
72.600	28.262	
72.700	23.603	
72.800	32.063	
72.900	4.593	
73.000	15.941	
73.100	38.013	
73.200	22.997	
73.300	1.224	
73.400	36.520	
73.500	24.382	
73.600	9.837	
73.700	20.822	
73.800	35.173	
73.900	22.590	
74.000	30.794	
74.100	15.448	
74.200	23.001	
74.300	18.523	
74.400	3.487	
74.500	37.750	
74.600	18.570	
74.700	6.280	
74.800	8.224	
74.900	16.504	
75.000	33.252	
75.100	30.341	
75.200	24.388	
75.300	15.993	
75.400	19.291	
75.500	12.842	
75.600	31.084	
75.700	26.753	
75.800	9.846	
75.900	18.374	
76.000	29.710	
76.100	30.446	
76.200	24.701	
76.300	27.254	
76.400	1.253	
76.500	5.433	
76.600	13.807	
76.700	36.990	
76.800	29.808	
76.900	23.852	
77.000	28.793	
77.100	18.707	
77.200	14.413	
77.300	36.435	
77.400	14.421	
77.500	10.994	
77.600	19.827	
77.700	20.370	
77.800	27.661	
77.900	14.147	
78.000	22.305	
78.100	34.324	
78.200	25.335	
78.300	20.346	
78.400	28.463	
78.500	27.635	
78.600	16.042	
78.700	19.144	
78.800	4.832	
78.900	27.417	
79.000	12.198	
79.100	23.939	
79.200	28.984	
79.300	27.794	
79.400	5.107	
79.500	39.244	
79.600	12.560	
79.700	21.503	
79.800	23.237	
79.900	25.757	
80.000	15.044	
80.100	14.703	
80.200	24.695	
80.300	20.058	
80.400	14.547	
80.500	14.642	
80.600	35.016	
80.700	24.136	
80.800	20.716	
80.900	30.150	
81.000	12.902	
81.100	27.189	
81.200	31.115	
81.300	18.881	
81.400	23.739	
81.500	14.965	
81.600	30.878	
81.700	25.553	
81.800	20.872	
81.900	17.595	
82.000	23.740	
82.100	30.585	
82.200	24.101	
82.300	10.360	
82.400	37.393	
82.500	16.102	
82.600	35.774	
82.700	15.404	
82.800	25.635	
82.900	17.870	
83.000	14.951	
83.100	22.313	
83.200	34.557	
83.300	30.689	
83.400	26.907	
83.500	14.070	
83.600	26.023	
83.700	7.578	
83.800	37.415	
83.900	-4.259	
84.000	7.987	
84.100	18.460	
84.200	24.045	
84.300	18.093	
84.400	6.407	
84.500	34.884	
84.600	14.544	
84.700	29.371	
84.800	18.355	
84.900	23.552	
85.000	16.827	
85.100	20.324	
85.200	21.056	
85.300	21.742	
85.400	20.503	
85.500	24.124	
85.600	41.518	
85.700	13.188	
85.800	35.195	
85.900	37.930	
86.000	17.830	
86.100	19.941	
86.200	26.322	
86.300	29.546	
86.400	24.892	
86.500	14.104	
86.600	7.597	
86.700	8.845	
86.800	22.477	
86.900	17.735	
87.000	16.770	
87.100	23.542	
87.200	32.014	
87.300	20.604	
87.400	21.383	
87.500	26.151	
87.600	-9.432	
87.700	30.955	
87.800	14.877	
87.900	6.795	
88.000	19.972	
88.100	17.877	
88.200	25.047	
88.300	19.903	
88.400	20.329	
88.500	9.657	
88.600	23.545	
88.700	22.895	
88.800	31.111	
88.900	23.815	
89.000	22.439	
89.100	11.938	
89.200	12.238	
89.300	9.564	
89.400	37.144	
89.500	34.623	
89.600	9.408	
89.700	23.556	
89.800	21.335	
89.900	32.865	
90.000	27.182	
90.100	23.733	
90.200	29.468	
90.300	6.789	
90.400	14.621	
90.500	23.223	
90.600	12.522	
90.700	29.245	
90.800	21.082	
90.900	32.322	
91.000	-2.072	
91.100	17.505	
91.200	26.327	
91.300	3.220	
91.400	27.764	
91.500	4.425	
91.600	-4.670	
91.700	12.815	
91.800	6.975	
91.900	15.737	
92.000	28.317	
92.100	11.401	
92.200	17.471	
92.300	13.039	
92.400	5.731	
92.500	8.863	
92.600	28.586	
92.700	20.414	
92.800	1.696	
92.900	14.330	
93.000	13.783	
93.100	-1.216	
93.200	-2.709	
93.300	10.900	
93.400	12.088	
93.500	8.332	
93.600	4.727	
93.700	10.734	
93.800	19.174	
93.900	13.450	
94.000	2.882	
94.100	12.702	
94.200	-9.142	
94.300	3.945	
94.400	-1.531	
94.500	5.468	
94.600	-3.940	
94.700	-3.384	
94.800	4.711	
94.900	-15.669	
95.000	27.824	
95.100	12.359	
95.200	11.405	
95.300	-2.787	
95.400	5.508	
95.500	14.032	
95.600	-3.381	
95.700	4.015	
95.800	5.639	
95.900	-0.571	
96.000	-7.087	
96.100	4.707	
96.200	10.307	
96.300	-11.023	
96.400	-11.297	
96.500	-21.402	
96.600	2.213	
96.700	4.063	
96.800	-7.007	
96.900	-17.520	
97.000	-7.104	
97.100	-8.770	
97.200	-11.297	
97.300	-10.860	
97.400	-2.099	
97.500	-15.216	
97.600	-1.243	
97.700	-8.175	
97.800	-7.674	
97.900	-22.719	
98.000	-2.365	
98.100	-3.144	
98.200	0.742	
98.300	-12.596	
98.400	-8.211	
98.500	-6.063	
98.600	-15.322	
98.700	-11.400	
98.800	-16.290	
98.900	-26.371	
99.000	-5.135	
99.100	-1.153	
99.200	5.949	
99.300	-18.160	
99.400	-10.010	
99.500	9.113	
99.600	-18.078	
99.700	-16.857	
99.800	-0.758	
99.900	-2.618	
100.000	4.948	
100.100	-14.165	
100.200	-6.850	
100.300	-5.467	
100.400	-20.049	
100.500	1.396	
100.600	2.405	
100.700	-14.826	
100.800	-12.520	
100.900	-14.999	
101.000	-2.916	
101.100	-6.695	
101.200	-8.259	
101.300	-9.487	
101.400	9.165	
101.500	-20.187	
101.600	-1.723	
101.700	-11.448	
101.800	-26.686	
101.900	-13.447	
102.000	-22.952	
102.100	8.629	
102.200	-11.039	
102.300	-17.014	
102.400	-12.543	
102.500	12.796	
102.600	11.385	
102.700	4.724	
102.800	-16.055	
102.900	-10.261	
103.000	-17.745	
103.100	-9.400	
103.200	-0.788	
103.300	2.259	
103.400	-8.926	
103.500	-0.585	
103.600	-1.728	
103.700	-2.317	
103.800	-6.400	
103.900	-13.827	
104.000	-7.655	
104.100	-8.540	
104.200	-7.415	
104.300	-30.759	
104.400	13.434	
104.500	-2.642	
104.600	-1.502	
104.700	-13.105	
104.800	-7.235	
104.900	-6.933	
105.000	0.284	
105.100	-18.936	
105.200	0.910	
105.300	6.033	
105.400	-2.877	
105.500	1.151	
105.600	-1.491	
105.700	-7.876	
105.800	-12.522	
105.900	-14.300	
106.000	-8.985	
106.100	-15.379	
106.200	0.151	
106.300	6.598	
106.400	-2.022	
106.500	-8.165	
106.600	-6.357	
106.700	-2.872	
106.800	4.240	
106.900	-7.580	
107.000	5.678	
107.100	-8.580	
