time /s	I /nA	
69.600	16.699	
69.700	-10.195	
69.800	37.400	
69.900	26.089	
70.000	-2.210	
70.100	-6.778	
70.200	-3.589	
70.300	-5.055	
70.400	-0.741	
70.500	11.429	
70.600	-21.739	
70.700	44.599	
70.800	16.354	
70.900	30.531	
71.000	19.365	
71.100	8.724	
71.200	15.136	
71.300	5.607	
71.400	9.997	
71.500	5.863	
71.600	33.521	
71.700	5.635	
71.800	3.699	
71.900	-9.955	
72.000	7.810	
72.100	11.842	
72.200	-12.138	
72.300	13.230	
72.400	22.322	
72.500	3.791	
72.600	-1.726	
72.700	11.579	
72.800	13.378	
72.900	17.691	
73.000	-13.666	
73.100	-16.885	
73.200	7.048	
73.300	47.027	
73.400	25.735	
73.500	7.742	
73.600	12.461	
73.700	-1.407	
73.800	5.529	
73.900	17.016	
74.000	12.571	
74.100	-8.359	
74.200	38.157	
74.300	23.623	
74.400	-0.216	
74.500	12.700	
74.600	23.297	
74.700	12.001	
74.800	5.589	
74.900	3.490	
75.000	8.611	
75.100	17.124	
75.200	14.525	
75.300	18.049	
75.400	7.039	
75.500	17.237	
75.600	17.647	
75.700	22.022	
75.800	6.613	
75.900	1.622	
76.000	-11.163	
76.100	12.591	
76.200	-5.584	
76.300	-7.062	
76.400	16.534	
76.500	55.052	
76.600	3.592	
76.700	23.079	
76.800	15.511	
76.900	16.559	
77.000	-7.151	
77.100	5.143	
77.200	21.911	
77.300	21.304	
77.400	4.603	
77.500	11.869	
77.600	-20.213	
77.700	16.605	
77.800	15.301	
77.900	3.390	
78.000	0.338	
78.100	12.769	
78.200	8.144	
78.300	14.552	
78.400	28.348	
78.500	13.970	
78.600	9.230	
78.700	33.849	
78.800	23.800	
78.900	6.394	
79.000	-0.758	
79.100	26.015	
79.200	24.445	
79.300	7.338	
79.400	3.113	
79.500	21.993	
79.600	-0.021	
79.700	38.609	
79.800	19.165	
79.900	-0.239	
80.000	9.175	
80.100	22.955	
80.200	-7.611	
80.300	21.466	
80.400	18.774	
80.500	14.517	
80.600	11.638	
80.700	4.939	
80.800	7.809	
80.900	24.155	
81.000	7.511	
81.100	14.926	
81.200	14.948	
81.300	22.087	
81.400	25.446	
81.500	22.225	
81.600	14.610	
81.700	28.519	
81.800	7.579	
81.900	9.154	
82.000	3.458	
82.100	12.509	
82.200	15.178	
82.300	20.162	
82.400	18.881	
82.500	23.191	
82.600	14.404	
82.700	16.008	
82.800	15.067	
82.900	8.811	
83.000	4.297	
83.100	-6.184	
83.200	4.323	
83.300	-2.248	
83.400	30.919	
83.500	21.898	
83.600	0.564	
83.700	-13.540	
83.800	17.666	
83.900	31.507	
84.000	19.866	
84.100	-12.082	
84.200	12.018	
84.300	13.983	
84.400	30.607	
84.500	26.930	
84.600	1.321	
84.700	13.007	
84.800	36.675	
84.900	28.820	
85.000	11.454	
85.100	39.388	
85.200	28.170	
85.300	10.661	
85.400	14.003	
85.500	18.928	
85.600	17.792	
85.700	21.578	
85.800	-0.733	
85.900	6.266	
86.000	15.891	
86.100	25.662	
86.200	41.248	
86.300	31.346	
86.400	6.177	
86.500	37.315	
86.600	13.834	
86.700	43.603	
86.800	41.564	
86.900	16.247	
87.000	1.087	
87.100	16.063	
87.200	-0.300	
87.300	24.538	
87.400	10.024	
87.500	7.728	
87.600	25.519	
87.700	28.775	
87.800	4.707	
87.900	31.467	
88.000	25.504	
88.100	32.311	
88.200	5.773	
88.300	-0.751	
88.400	30.758	
88.500	39.490	
88.600	30.429	
88.700	5.834	
88.800	1.555	
88.900	14.964	
89.000	42.080	
89.100	50.751	
89.200	24.928	
89.300	3.180	
89.400	-3.590	
89.500	27.627	
89.600	15.240	
89.700	7.931	
89.800	16.414	
89.900	11.071	
90.000	0.346	
90.100	-15.243	
90.200	17.661	
90.300	34.606	
90.400	9.120	
90.500	10.697	
90.600	-23.225	
90.700	13.187	
90.800	22.981	
90.900	0.560	
91.000	2.593	
91.100	-4.921	
91.200	-26.166	
