sample1,,
Wavelength (nm),Abs,
727.0075073,0.6195580363,
726.0118408,0.6193637848,
725.0158691,0.6189206243,
723.9839478,0.6189156771,
722.9873047,0.6178978682,
721.9902344,0.6174350977,
720.9928589,0.6165120602,
719.9951782,0.6152012348,
718.9971313,0.6148120761,
717.9987793,0.6146376729,
717,0.6130164862,
716.0009766,0.6122550964,
715.0015869,0.6105685234,
714.0018311,0.6106292605,
713.00177,0.6106327772,
712.0014038,0.6095820665,
711.0006104,0.6090621352,
709.9995117,0.6094620824,
708.9981079,0.6084999442,
707.9963379,0.6079726219,
706.9942627,0.608022809,
705.9918213,0.6073696017,
704.9891357,0.6077907681,
703.9859619,0.6072679758,
702.9825439,0.6069241166,
702.0146484,0.6074061394,
701.0106201,0.6077679992,
700.0061646,0.6069661975,
699.0014648,0.6067215204,
697.9963379,0.6065654159,
696.9909058,0.6076629162,
695.9852295,0.6100688577,
695.0151367,0.6121798754,
694.008728,0.6146742105,
693.0020752,0.6181774735,
691.9949951,0.6225705147,
690.9876709,0.6270474195,
690.0159912,0.6323266029,
689.0079956,0.6363120675,
687.9996338,0.6419141889,
686.9910278,0.6477614045,
686.0180054,0.6535739899,
685.0087891,0.6595132947,
683.9991455,0.6650577188,
682.9891968,0.6702791452,
682.0150757,0.6766729951,
681.0044556,0.6813613772,
679.9935303,0.686368227,
678.9824219,0.6899238825,
678.006958,0.6934174895,
676.9951172,0.6968220472,
675.9829712,0.7011891603,
675.0066528,0.7015942335,
673.9938965,0.7014802694,
673.0169678,0.7030356526,
672.0036011,0.7036278844,
670.9898682,0.702513814,
670.0120239,0.7039287686,
668.9976196,0.7029818296,
667.9829712,0.7024095058,
667.0042114,0.7010939121,
665.9889526,0.6982463598,
665.0096436,0.6948770881,
663.9937134,0.692112565,
663.013855,0.687199831,
661.9972534,0.6831299663,
661.0167847,0.6783574224,
659.9996338,0.6727670431,
658.9821777,0.6684845686,
658.0007324,0.6660064459,
656.9827271,0.6620954871,
656.0007324,0.6579661965,
654.9819946,0.6551264524,
653.9994507,0.6532394886,
653.0166016,0.6510120034,
651.9970093,0.6507311463,
651.0136108,0.6492956281,
649.9934082,0.6499384046,
649.0093384,0.6482650042,
647.9885254,0.6484192014,
647.0039673,0.6475771666,
645.982605,0.6464858651,
644.9973145,0.6464480162,
644.0119019,0.6456055045,
642.989624,0.6446815133,
642.00354,0.64312464,
641.0172119,0.6430491209,
639.9940186,0.6424173117,
639.0071411,0.6424195766,
637.9833984,0.6427165866,
636.9959106,0.6420128345,
636.0081177,0.640324235,
634.9835205,0.6411499977,
633.9951782,0.6402346492,
633.0065918,0.6391311288,
632.0177002,0.6387029886,
